esd.UspLoadXmlAdjAtmConstrainedSupplyFromExcel,dbo.UspEsdLoadXmlAdjAtmConstrainedSupplyFromExcel,49
esd.UspLoadXmlAdjShippableWaferSupplyFromExcel,dbo.UspEsdLoadXmlAdjShippableWaferSupplyFromExcel,49
esd.UspEsdFetchTotalSupplyDemandStitchByStfMonth,dbo.UspEsdFetchTotalSupplyDemandStitchByStfMonth,48
esd.UspEsdLoadTotalSupplyDemandStitchByStfMonth,dbo.UspEsdLoadTotalSupplyDemandStitchByStfMonth,47
etl.UspProcessDataInventoryTargetByWafer,dbo.UspEtlProcessDataInventoryTargetByWafer,43
esd.UspEsdRefImapMissingSTFWithSupplyDemand,dbo.UspEsdRefImapMissingSTFWithSupplyDemand,43
esd.UspLoadXmlAdjSellableSupplyFromExcel,dbo.UspEsdLoadXmlAdjSellableSupplyFromExcel,43
etl.UspProcessEsdSPODiscreteChipsetMap,dbo.UspEtlProcessEsdSPODiscreteChipsetMap,41
etl.UspProcessEsdSPOSTFtoEsdSegmentMap,dbo.UspEtlProcessEsdSPOSTFtoEsdSegmentMap,41
gui.UspFetchLoadStatusByTableLoadGroup,dbo.UspGuiFetchLoadStatusByTableLoadGroup,41
etl.UspProcessDataActualMmbpCgidUnits,dbo.UspEtlProcessDataActualMmbpCgidUnits,40
etl.UspProcessDataSnapshotMmbpBacklog,dbo.UspEtlProcessDataSnapshotMmbpBacklog,40
etl.UspProcessRefBusinessUnitWaferMap,dbo.UspEtlProcessRefBusinessUnitWaferMap,40
esd.UspEsdLoadDataSupplyStitchByStfMonth,dbo.UspEsdLoadDataSupplyStitchByStfMonth,40
etl.UspProcessEsdDataBonusableSupply,dbo.UspEtlProcessEsdDataBonusableSupply,39
gui.UspFetchEsdVersionDatasetDetails,dbo.UspGuiFetchEsdVersionDatasetDetails,39
gui.UspFetchEsdVersionSourceVersions,dbo.UspGuiFetchEsdVersionSourceVersions,39
gui.UspFetchAdjAtmConstrainedSupply,dbo.UspGuiFetchAdjAtmConstrainedSupply,38
gui.UspFetchAdjShippableWaferSupply,dbo.UspGuiFetchAdjShippableWaferSupply,38
gui.UspFetchCurrentMonthEsdVersions,dbo.UspGuiFetchCurrentMonthEsdVersions,38
esd.UspLoadXmlAdjFgSupplyFromExcel,dbo.UspEsdLoadXmlAdjFgSupplyFromExcel,37
esd.UspLoadXmlSourceVersionBypass,dbo.UspEsdLoadXmlSourceVersionBypass,36
gui.UspFetchEsdVersionLoadDetails,dbo.UspGuiFetchEsdVersionLoadDetails,36
esd.EsdDataTotalSupplyAndDemandStitchByStfMonth,dbo.EsdTotalSupplyAndDemandByDpMonth,36
esd.EsdLoadStfToBusinessUnitMapping,dbo.EsdLoadStfToBusinessUnitMapping,35
esd.UspLoadXmlAdjDemandFromExcel,dbo.UspEsdLoadXmlAdjDemandFromExcel,35
gui.UspFetchSdaAggregationValues,dbo.UspGuiFetchSdaAggregationValues,35
gui.UspFetchUIAdminAuthorization,dbo.UspGuiFetchUIAdminAuthorization,35
gui.UspCheckSourceVersionStatus,dbo.UspGuiCheckSourceVersionStatus,34
gui.UspFetchSourceVersionBypass,dbo.UspGuiFetchSourceVersionBypass,34
dbo.DataActualMmbpCgidUnits,dbo.ActualBillingAllocationBacklog,34
dbo.DataSnapshotMmbpBacklog,dbo.ActualBillingAllocationBacklog,34
etl.UspProcessEsdSPOSdaMapping,dbo.UspEtlProcessEsdSPOSdaMapping,33
esd.UspNewEsdVersionQueueBatch,dbo.UspEsdNewEsdVersionQueueBatch,33
gui.UspEsdFetchEsdVersionsList,dbo.UspGuiEsdFetchEsdVersionsList,33
gui.UspFetchBusinessUnitValues,dbo.UspGuiFetchBusinessUnitValues,33
dbo.DataActualBillingsNetWithTMGUnits,dbo.ActualBillingsNetWithTmgUnits,33
etl.UspProcessWaferOutByWafer,dbo.UspEtlProcessWaferOutByWafer,32
esd.UspCreateUpdateEsdVersion,dbo.UspEsdCreateUpdateEsdVersion,32
esd.UspEsdFetchEsdVersionSummary,dbo.UspEsdFetchEsdVersionSummary,32
gui.UspFetchAdjSellableSupply,dbo.UspGuiFetchAdjSellableSupply,32
gui.UspFetchCurrentReconMonth,dbo.UspGuiFetchCurrentReconMonth,32
gui.UspUpdateEsdVersionColumn,dbo.UspGuiUpdateEsdVersionColumn,32
etl.UspProcessDataMRBMapping,dbo.UspEtlProcessDataMRBMapping,31
etl.UspProcessDataTptByWafer,dbo.UspEtlProcessDataTptByWafer,31
esd.UspEsdLoadDataSupplyStitch2,dbo.UspEsdLoadDataSupplyStitch2,31
gui.UspFetchEsdVersionStatus,dbo.UspGuiFetchEsdVersionStatus,31
etl.UspMergeTableLoadStatus,dbo.UspEtlMergeTableLoadStatus,30
etl.UspProcessDataActualBoh,dbo.UspEtlProcessDataActualBoh,30
etl.UspQueueTableLoadGroups,dbo.UspEtlQueueTableLoadGroups,30
esd.UspCreateEsdBaseVersion,dbo.UspEsdCreateEsdBaseVersion,30
